set output "plot4.txt"

set xlabel 'Time (s)'
set ylabel 'rxPower (dBm)'
set key center right
splot "-"  title "txPower 20dBm", -94.0 title "-94 dBm CSThreshold"
0.736 16.4888 22.3011
0.737 12.7719 19.0555
0.738 6.32735 22.9404
0.739 19.1894 20.2886
0.74 -5.05177 18.187
0.741 12.7832 23.8515
0.742 24.1008 15.4681
0.743 16.2734 19.4791
0.744 14.3928 13.2842
0.745 16.5716 15.2147
0.746 7.38568 22.0459
0.747 24.4077 15.717
0.748 20.5028 13.276
0.749 21.6858 20.5711
0.75 11.3739 12.2737
0.751 25.5377 24.2215
0.752 16.5779 8.64219
0.753 24.7212 22.2746
0.754 10.7416 5.27851
0.755 -1.19861 20.4684
0.756 18.2619 -3.1132
0.757 7.00164 12.842
0.758 12.7226 12.2813
0.759 6.58817 17.2825
0.76 12.1874 20.6956
0.761 19.3209 11.778
0.762 22.2656 17.5701
0.763 11.6583 20.8668
0.764 18.3735 17.7656
0.765 12.6769 21.9394
0.766 20.3647 7.36633
0.767 13.8817 21.4844
0.768 17.6462 5.56609
0.769 14.731 22.7258
0.77 10.6538 6.19099
0.771 16.1562 23.4553
0.772 24.4451 18.5018
0.773 21.3214 0.32779
0.774 16.6725 23.0724
0.775 9.06421 21.6396
0.776 19.0724 14.6959
0.777 20.4767 20.8312
0.778 18.7595 22.2435
0.779 25.401 3.82491
0.78 22.4821 7.26154
0.781 22.1573 19.749
0.782 18.7412 19.1828
0.783 18.9617 22.6818
0.784 9.84423 20.1745
0.785 23.923 19.3607
0.786 23.386 19.584
0.787 17.283 21.7872
0.788 16.1729 21.3472
0.789 12.3186 18.9242
0.79 15.4219 11.0899
0.791 18.6924 23.7209
0.792 19.3493 17.5849
0.793 13.1863 8.48389
0.794 14.3732 16.6221
0.795 17.1228 18.8126
0.796 21.1398 14.4883
0.797 13.8656 21.4563
0.798 19.2261 4.93879
0.799 14.1689 12.0813
0.8 23.0166 18.8763
0.801 18.2171 14.7293
0.802 14.2602 19.8184
0.803 12.1902 13.7268
0.804 21.4195 21.494
0.805 26.0906 16.795
0.806 22.8999 22.2424
0.807 19.3113 13.0661
0.808 23.6027 17.9595
0.809 18.2114 18.8424
0.81 11.7131 22.4122
0.811 16.6053 6.29638
0.812 23.4531 22.6079
0.813 11.4524 20.0777
0.814 14.5934 17.2081
0.815 16.4288 11.6954
0.816 13.1487 15.8116
0.817 1.3906 20.1834
0.818 21.8135 21.0144
0.819 24.3663 15.3951
0.82 17.8728 14.3915
